wage,hours,IQ,educ,exper,tenure,age,married,black,meduc
76900.0,40.0,93.0,12.0,11.0,2.0,31.0,1,0,8.0
80800.0,50.0,119.0,18.0,11.0,16.0,37.0,1,0,14.0
82500.0,40.0,108.0,14.0,11.0,9.0,33.0,1,0,14.0
65000.0,40.0,96.0,12.0,13.0,7.0,32.0,1,0,12.0
56200.0,40.0,74.0,11.0,14.0,5.0,34.0,1,0,6.0
140000.0,40.0,116.0,16.0,14.0,2.0,35.0,1,1,8.0
60000.0,40.0,91.0,10.0,13.0,0.0,30.0,0,0,8.0
108100.0,40.0,114.0,18.0,8.0,14.0,38.0,1,0,8.0
115400.0,45.0,111.0,15.0,13.0,1.0,36.0,1,0,14.0
100000.0,40.0,95.0,12.0,16.0,16.0,36.0,1,0,12.0
93000.0,43.0,132.0,18.0,8.0,13.0,38.0,1,0,13.0
92100.0,38.0,102.0,14.0,9.0,11.0,33.0,1,0,16.0
90000.0,45.0,125.0,15.0,4.0,3.0,30.0,0,0,12.0
131800.0,38.0,119.0,16.0,7.0,2.0,28.0,1,0,10.0
179200.0,40.0,118.0,16.0,9.0,9.0,34.0,1,0,12.0
95800.0,50.0,105.0,10.0,17.0,2.0,35.0,1,0,6.0
136000.0,45.0,109.0,15.0,6.0,9.0,36.0,1,0,12.0
85000.0,40.0,72.0,11.0,19.0,10.0,38.0,1,0,10.0
83000.0,44.0,105.0,14.0,4.0,7.0,29.0,1,0,12.0
47100.0,44.0,101.0,12.0,13.0,7.0,31.0,1,0,8.0
127500.0,40.0,123.0,14.0,9.0,1.0,31.0,1,0,12.0
161500.0,50.0,113.0,16.0,10.0,4.0,36.0,1,0,12.0
87300.0,65.0,95.0,12.0,14.0,3.0,38.0,1,0,10.0
213700.0,45.0,145.0,16.0,17.0,8.0,38.0,1,0,12.0
105300.0,38.0,114.0,16.0,12.0,7.0,32.0,1,0,11.0
160200.0,60.0,124.0,16.0,8.0,9.0,29.0,1,0,16.0
118800.0,40.0,93.0,13.0,16.0,5.0,35.0,1,0,12.0
80000.0,40.0,115.0,18.0,11.0,1.0,35.0,1,0,8.0
141700.0,48.0,125.0,17.0,9.0,4.0,34.0,1,0,13.0
63500.0,40.0,128.0,18.0,8.0,13.0,36.0,0,0,16.0
100000.0,40.0,103.0,12.0,17.0,2.0,34.0,1,0,8.0
142400.0,50.0,98.0,14.0,15.0,4.0,35.0,1,0,12.0
