iter	Passed	Remaining
0	152	152588
1	158	79115
2	163	54195
3	167	41786
4	172	34283
5	176	29259
6	181	25710
7	185	23024
8	189	20903
9	194	19217
10	198	17860
11	203	16715
12	207	15723
13	211	14890
14	215	14179
15	220	13547
16	224	12984
17	228	12479
18	232	12022
19	236	11610
20	241	11255
21	245	10911
22	249	10599
23	253	10323
24	256	9996
25	260	9758
26	264	9536
27	268	9324
28	272	9130
29	276	8942
30	280	8781
31	285	8630
32	289	8477
33	293	8339
34	297	8207
35	302	8087
36	306	7969
37	310	7853
38	314	7746
39	318	7649
40	322	7552
41	326	7453
42	331	7367
43	335	7284
44	339	7201
45	343	7118
46	347	7037
47	351	6964
48	355	6891
49	359	6821
50	363	6758
51	367	6698
52	371	6637
53	375	6578
54	379	6526
55	383	6471
56	387	6418
57	392	6369
58	396	6320
59	400	6271
60	404	6225
61	408	6176
62	412	6136
63	416	6093
64	420	6052
65	424	6012
66	428	5973
67	433	5934
68	437	5897
69	441	5862
70	445	5826
71	449	5790
72	453	5762
73	457	5729
74	462	5700
75	466	5668
76	470	5637
77	474	5606
78	478	5577
79	482	5549
80	487	5525
81	490	5496
82	495	5469
83	499	5443
84	503	5415
85	507	5388
86	511	5365
87	515	5343
88	519	5319
89	523	5293
90	527	5271
91	531	5250
92	535	5226
93	539	5201
94	543	5179
95	547	5159
96	551	5136
97	555	5115
98	559	5095
99	564	5076
100	567	5054
101	571	5033
102	575	5015
103	580	4998
104	584	4980
105	588	4960
106	592	4943
107	596	4926
108	600	4907
109	604	4888
110	608	4873
111	612	4858
112	616	4842
113	620	4825
114	625	4812
115	629	4796
116	633	4779
117	637	4762
118	641	4747
119	645	4732
120	649	4717
121	653	4703
122	657	4689
123	662	4677
124	666	4662
125	670	4650
126	674	4635
127	678	4621
128	682	4607
129	686	4596
130	691	4584
131	695	4572
132	699	4559
133	703	4545
134	707	4531
135	711	4519
136	715	4506
137	719	4492
138	723	4480
139	727	4470
140	731	4457
141	735	4443
142	739	4430
143	743	4419
144	747	4407
145	751	4396
146	755	4383
147	760	4375
148	764	4365
149	768	4353
150	772	4342
151	776	4334
152	781	4323
153	784	4312
154	788	4300
155	792	4289
156	796	4279
157	800	4268
158	804	4256
159	809	4247
160	813	4237
161	817	4227
162	820	4215
163	825	4205
164	828	4195
165	833	4185
166	837	4175
167	841	4166
168	845	4157
169	849	4147
170	853	4137
171	857	4129
172	862	4121
173	866	4111
174	870	4103
175	874	4096
176	879	4088
177	883	4079
178	887	4070
179	891	4062
180	895	4052
181	899	4043
182	903	4034
183	907	4025
184	912	4018
185	916	4009
186	920	4002
187	924	3995
188	929	3986
189	933	3978
190	937	3970
191	942	3964
192	946	3956
193	950	3948
194	954	3941
195	958	3933
196	962	3924
197	966	3915
198	970	3906
199	974	3898
200	978	3891
201	982	3880
202	986	3872
203	990	3864
204	994	3856
205	998	3847
206	1002	3839
207	1006	3832
208	1010	3824
209	1014	3816
210	1018	3807
211	1022	3800
212	1026	3792
213	1030	3785
214	1034	3778
215	1039	3771
216	1043	3764
217	1047	3756
218	1051	3748
219	1055	3741
220	1059	3734
221	1063	3727
222	1067	3720
223	1072	3713
224	1076	3706
225	1080	3699
226	1083	3691
227	1088	3684
228	1092	3676
229	1096	3669
230	1099	3661
231	1103	3654
232	1107	3646
233	1111	3639
234	1115	3632
235	1120	3625
236	1124	3618
237	1128	3612
238	1132	3606
239	1136	3600
240	1141	3593
241	1145	3588
242	1149	3582
243	1154	3576
244	1158	3570
245	1163	3565
246	1167	3558
247	1171	3551
248	1175	3545
249	1179	3539
250	1183	3532
251	1187	3525
252	1192	3519
253	1196	3513
254	1200	3507
255	1204	3501
256	1208	3494
257	1212	3488
258	1216	3481
259	1221	3475
260	1225	3469
261	1229	3463
262	1233	3457
263	1238	3451
264	1242	3445
265	1246	3439
266	1250	3433
267	1255	3427
268	1259	3421
269	1263	3415
270	1267	3409
271	1271	3403
272	1275	3397
273	1279	3390
274	1284	3385
275	1288	3379
276	1292	3373
277	1296	3366
278	1300	3361
279	1305	3356
280	1309	3350
281	1313	3344
282	1317	3338
283	1321	3331
284	1325	3325
285	1329	3318
286	1333	3312
287	1337	3306
288	1341	3300
289	1345	3294
290	1349	3287
291	1353	3281
292	1357	3276
293	1361	3269
294	1365	3263
295	1369	3257
296	1374	3252
297	1378	3246
298	1382	3241
299	1386	3235
300	1390	3229
301	1394	3222
302	1398	3217
303	1402	3210
304	1406	3205
305	1410	3198
306	1414	3193
307	1418	3187
308	1422	3181
309	1426	3175
310	1430	3169
311	1434	3164
312	1439	3158
313	1443	3152
314	1447	3147
315	1451	3141
316	1455	3136
317	1459	3129
318	1463	3123
319	1467	3118
320	1471	3113
321	1475	3107
322	1480	3102
323	1484	3096
324	1488	3091
325	1492	3085
326	1496	3080
327	1501	3075
328	1505	3070
329	1509	3064
330	1513	3059
331	1518	3054
332	1522	3049
333	1526	3043
334	1530	3038
335	1534	3033
336	1538	3027
337	1542	3021
338	1546	3016
339	1550	3010
340	1554	3004
341	1558	2998
342	1562	2993
343	1566	2987
344	1570	2981
345	1574	2975
346	1578	2970
347	1582	2965
348	1586	2959
349	1590	2953
350	1594	2947
351	1598	2942
352	1602	2936
353	1606	2930
354	1610	2925
355	1614	2919
356	1618	2914
357	1621	2908
358	1625	2902
359	1629	2897
360	1633	2891
361	1637	2886
362	1641	2880
363	1645	2874
364	1649	2869
365	1653	2863
366	1657	2858
367	1661	2853
368	1665	2848
369	1669	2843
370	1673	2837
371	1678	2832
372	1682	2827
373	1685	2821
374	1689	2816
375	1693	2810
376	1697	2805
377	1701	2800
378	1705	2794
379	1709	2789
380	1713	2784
381	1718	2779
382	1721	2773
383	1725	2768
384	1730	2763
385	1734	2758
386	1737	2752
387	1741	2746
388	1745	2741
389	1749	2736
390	1753	2731
391	1757	2725
392	1761	2720
393	1765	2715
394	1769	2710
395	1773	2705
396	1794	2724
397	1798	2719
398	1801	2714
399	1805	2708
400	1809	2703
401	1813	2698
402	1817	2692
403	1821	2686
404	1825	2681
405	1829	2676
406	1833	2670
407	1837	2665
408	1841	2660
409	1845	2655
410	1849	2650
411	1853	2645
412	1857	2640
413	1861	2635
414	1865	2629
415	1869	2624
416	1873	2618
417	1877	2613
418	1880	2608
419	1884	2602
420	1888	2597
421	1893	2593
422	1897	2587
423	1901	2582
424	1904	2577
425	1909	2572
426	1913	2567
427	1917	2562
428	1920	2556
429	1924	2551
430	1928	2546
431	1933	2541
432	1936	2536
433	1940	2531
434	1945	2526
435	1949	2521
436	1952	2515
437	1956	2510
438	1960	2505
439	1964	2500
440	1969	2495
441	1972	2490
442	1977	2485
443	1981	2481
444	1985	2475
445	1989	2470
446	1993	2465
447	1997	2460
448	2001	2455
449	2005	2450
450	2009	2446
451	2013	2441
452	2017	2436
453	2021	2431
454	2025	2426
455	2029	2421
456	2033	2416
457	2038	2411
458	2042	2407
459	2046	2402
460	2050	2397
461	2054	2392
462	2058	2387
463	2062	2382
464	2066	2377
465	2070	2372
466	2074	2367
467	2078	2362
468	2082	2357
469	2086	2352
470	2090	2347
471	2094	2342
472	2098	2337
473	2102	2333
474	2106	2328
475	2110	2323
476	2114	2318
477	2118	2313
478	2122	2308
479	2126	2303
480	2130	2299
481	2134	2293
482	2138	2288
483	2142	2283
484	2145	2278
485	2149	2273
486	2153	2268
487	2157	2264
488	2161	2259
489	2165	2254
490	2169	2249
491	2173	2244
492	2177	2239
493	2181	2234
494	2185	2229
495	2189	2224
496	2193	2219
497	2197	2214
498	2201	2209
499	2205	2205
500	2210	2201
501	2214	2196
502	2218	2191
503	2222	2186
504	2226	2182
505	2230	2177
506	2234	2172
507	2238	2167
508	2242	2163
509	2246	2158
510	2250	2153
511	2254	2148
512	2258	2144
513	2262	2139
514	2266	2134
515	2270	2129
516	2274	2125
517	2278	2120
518	2282	2115
519	2286	2111
520	2291	2106
521	2295	2101
522	2298	2096
523	2303	2092
524	2307	2087
525	2311	2082
526	2315	2078
527	2319	2073
528	2323	2069
529	2327	2064
530	2331	2059
531	2335	2054
532	2339	2049
533	2343	2045
534	2347	2040
535	2351	2035
536	2355	2030
537	2359	2026
538	2363	2021
539	2367	2016
540	2371	2012
541	2375	2007
542	2379	2002
543	2383	1998
544	2387	1993
545	2391	1988
546	2395	1984
547	2399	1979
548	2404	1975
549	2408	1970
550	2412	1965
551	2416	1960
552	2420	1956
553	2424	1951
554	2428	1947
555	2432	1942
556	2436	1937
557	2440	1932
558	2444	1928
559	2448	1923
560	2452	1918
561	2456	1914
562	2460	1909
563	2464	1905
564	2468	1900
565	2472	1896
566	2476	1891
567	2480	1886
568	2484	1881
569	2488	1877
570	2492	1872
571	2496	1868
572	2500	1863
573	2504	1858
574	2508	1854
575	2512	1849
576	2516	1845
577	2520	1840
578	2524	1835
579	2528	1831
580	2533	1826
581	2537	1822
582	2541	1817
583	2545	1813
584	2549	1808
585	2553	1804
586	2557	1799
587	2561	1794
588	2565	1790
589	2569	1785
590	2573	1780
591	2577	1776
592	2581	1771
593	2585	1767
594	2589	1762
595	2593	1757
596	2597	1753
597	2601	1749
598	2605	1744
599	2609	1739
600	2613	1735
601	2617	1730
602	2621	1726
603	2626	1721
604	2630	1717
605	2634	1712
606	2638	1708
607	2642	1703
608	2646	1698
609	2650	1694
610	2654	1689
611	2658	1685
612	2662	1680
613	2666	1676
614	2670	1671
615	2674	1667
616	2678	1662
617	2682	1658
618	2686	1653
619	2690	1649
620	2694	1644
621	2699	1640
622	2703	1635
623	2707	1631
624	2710	1626
625	2715	1622
626	2719	1617
627	2723	1613
628	2727	1608
629	2732	1604
630	2736	1600
631	2740	1595
632	2743	1590
633	2748	1586
634	2751	1581
635	2755	1577
636	2759	1572
637	2763	1568
638	2767	1563
639	2771	1559
640	2775	1554
641	2779	1550
642	2783	1545
643	2787	1540
644	2791	1536
645	2795	1531
646	2799	1527
647	2803	1522
648	2807	1518
649	2811	1513
650	2815	1509
651	2818	1504
652	2822	1500
653	2827	1495
654	2831	1491
655	2835	1486
656	2838	1482
657	2843	1477
658	2847	1473
659	2851	1468
660	2854	1464
661	2859	1459
662	2863	1455
663	2866	1450
664	2870	1446
665	2874	1441
666	2879	1437
667	2883	1432
668	2886	1428
669	2890	1423
670	2894	1419
671	2898	1414
672	2903	1410
673	2907	1406
674	2911	1401
675	2915	1397
676	2919	1392
677	2923	1388
678	2927	1383
679	2931	1379
680	2935	1375
681	2939	1370
682	2943	1366
683	2948	1361
684	2951	1357
685	2955	1353
686	2959	1348
687	2964	1344
688	2968	1339
689	2972	1335
690	2976	1330
691	2979	1326
692	2984	1321
693	2988	1317
