stock_id,date,Advt_12M_Usd,Advt_3M_Usd,Advt_6M_Usd,Asset_Turnover,Bb_Yld,Bv,Capex_Ps_Cf,Capex_Sales,Cash_Div_Cf,Cash_Per_Share,Cf_Sales,Debtequity,Div_Yld,Dps,Ebit_Bv,Ebit_Noa,Ebit_Oa,Ebit_Ta,Ebitda_Margin,Eps,Eps_Basic,Eps_Basic_Gr,Eps_Contin_Oper,Eps_Dil,Ev,Ev_Ebitda,Fa_Ci,Fcf,Fcf_Bv,Fcf_Ce,Fcf_Margin,Fcf_Noa,Fcf_Oa,Fcf_Ta,Fcf_Tbv,Fcf_Toa,Fcf_Yld,Free_Ps_Cf,Int_Rev,Interest_Expense,Mkt_Cap_12M_Usd,Mkt_Cap_3M_Usd,Mkt_Cap_6M_Usd,Mom_11M_Usd,Mom_5M_Usd,Mom_Sharp_11M_Usd,Mom_Sharp_5M_Usd,Nd_Ebitda,Net_Debt,Net_Debt_Cf,Net_Margin,Netdebtyield,Ni,Ni_Avail_Margin,Ni_Oa,Ni_Toa,Noa,Oa,Ocf,Ocf_Bv,Ocf_Ce,Ocf_Margin,Ocf_Noa,Ocf_Oa,Ocf_Ta,Ocf_Tbv,Ocf_Toa,Op_Margin,Op_Prt_Margin,Oper_Ps_Net_Cf,Pb,Pe,Ptx_Mgn,Recurring_Earning_Total_Assets,Return_On_Capital,Rev,Roa,Roc,Roce,Roe,Sales_Ps,Share_Turn_12M,Share_Turn_3M,Share_Turn_6M,Ta,Tev_Less_Mktcap,Tot_Debt_Rev,Total_Capital,Total_Debt,Total_Debt_Capital,Total_Liabilities_Total_Assets,Vol1Y_Usd,Vol3Y_Usd,R1M_Usd,R3M_Usd,R6M_Usd,R12M_Usd
72,1/31/2018,0.86,0.85,0.86,0.9,0.84,0.01,0.17,0.09,0.62,0.51,0.18,0.5,0.71,0.44,0.02,0.01,0.68,0.65,0.14,0.38,0.37,0.21,0.39,0.38,0.83,0.28,0.5,0.93,0.02,0.79,0.4,0.02,0.85,0.83,0.14,0.68,0.85,0.51,0.28,0.84,0.87,0.88,0.88,0.89,0.62,0.95,0.79,0.19,0.11,0.92,0.35,0.73,0.94,0.34,0.82,0.65,0.01,0.84,0.92,0.02,0.79,0.22,0.02,0.79,0.73,0.16,0.61,0.3,0.27,0.28,0.5,0.1,0.36,0.14,1,0.96,0.79,1,0.5,0.5,0.56,0.44,0.38,0.42,0.87,0.04,0.23,0.54,0.85,1,0.99,0.22,0.83,-0.022,-0.078,0.001,0
78,1/31/2018,0.66,0.67,0.66,0.37,0.92,0.01,0.25,0.58,0.11,0.89,0.94,0.5,0.03,0.05,0.03,0.02,1,0.83,0.84,0.77,0.83,0.58,0.77,0.76,0.69,0.83,0.5,0.77,0.03,0.8,0.98,0.02,1,0.97,0.1,1,0.67,0.89,0.15,0.7,0.68,0.68,0.68,0.87,0.63,1,0.81,0.21,0.24,0.88,0.99,0.82,0.73,0.96,1,0.91,0.01,0.09,0.69,0.03,0.8,0.98,0.02,1,0.97,0.12,1,1,0.52,0.69,0.5,0.66,0.99,0.01,1,0.32,0.97,1,0.5,0.5,0.19,0.62,0.64,0.6,0.38,0.71,0.88,0.27,0.65,1,1,0.04,0.17,0.006,0.047,0.264,0
465,1/31/2018,0.57,0.65,0.64,0.71,0.18,0.01,0.35,0.46,0.1,0.73,0.48,0.5,0.15,0.05,0.04,0.78,0.77,0.79,0.57,0.46,0.47,0.95,0.46,0.45,0.44,0.74,0.5,0.54,0.05,0.73,0.72,0.9,0.9,0.93,0.26,1,0.56,0.73,0.73,0.66,0.33,0.41,0.39,1,0.89,0.92,0.52,0.91,0.67,0.22,0.58,0.21,0.44,0.57,0.82,0.9,0.18,0.19,0.4,0.04,0.68,0.56,0.87,0.85,0.88,0.25,1,0.74,0.96,0.41,0.5,0.59,0.58,1,0.94,0.34,0.82,0.94,0.5,0.5,0.4,0.95,0.96,0.95,0.19,0.51,0.83,0.18,0.61,1,1,0.99,1,0.033,0.095,0.393,-0.502
486,1/31/2018,0.48,0.52,0.5,0.36,0.3,0.01,0.81,0.81,0.02,0.71,0.55,0.5,0.22,0.21,0.05,0.23,0.29,0.31,0.71,0.03,0.03,0.65,0.03,0.03,0.67,0.49,0.5,0.58,0.06,0.24,0.49,0.28,0.39,0.4,0.31,0.59,0.67,0.71,0.96,0.93,0.4,0.5,0.48,1,0.9,0.92,0.68,0.97,0.88,0.26,0.05,0.27,0.03,0.05,0.06,0.03,0.71,0.62,0.64,0.04,0.25,0.57,0.29,0.43,0.46,0.26,0.74,0.54,0.74,0.7,0.5,0.5,0.05,0.07,0.29,0.58,0.06,0.29,0.5,0.5,0.6,0.81,0.7,0.7,0.6,0.9,0.91,0.7,0.85,0.99,0.99,0.96,0.98,-0.139,0.146,0.03,-0.463
552,1/31/2018,0.88,0.87,0.87,0.88,0.75,0.01,0.81,0.77,0.82,0.32,0.44,0.5,0.93,0.9,0.01,0.81,0.8,0.82,0.45,0.73,0.72,0.26,0.73,0.73,0.75,0.28,0.5,0.81,0.02,0.65,0.43,0.85,0.84,0.84,0.14,0.69,0.7,0.32,0.32,0.88,0.75,0.76,0.74,0.37,0.95,0.34,0.77,0.6,0.81,0.63,0.53,0.57,0.85,0.52,0.91,0.78,0.59,0.6,0.84,0.01,0.75,0.48,0.95,0.94,0.96,0.11,0.8,0.58,0.26,0.72,0.5,0.09,0.55,0.21,0.97,0.85,0.91,0.97,0.5,0.5,0.7,0.89,0.9,0.9,0.63,0.8,0.52,0.64,0.81,0.99,0.99,0.92,0.74,-0.044,-0.307,-0.349,-0.403
671,1/31/2018,0.82,0.72,0.74,0.57,0.46,0.01,0.78,0.93,0.71,0.05,0.14,0.5,0.1,0.23,0.02,0.34,0.38,0.42,0.48,0.11,0.11,0.93,0.1,0.11,0.73,0.33,0.5,0.01,1,0.01,0.02,0.03,0.01,0.01,0.88,0.97,0.01,0.05,0.81,0.88,0.5,0.43,0.44,0.03,0.06,0.03,0.08,0.91,0.91,0.91,0.25,0.98,0.63,0.09,0.35,0.98,0.79,0.74,0.06,0.06,0.03,0.04,0.05,0.04,0.04,0.87,0.99,0.41,0.5,0.04,0.5,0.5,0.14,0.02,0.49,0.8,0.36,0.49,0.5,0.5,0.21,0.99,0.98,0.98,0.72,0.93,0.75,0.76,0.88,0.98,0.98,0.91,0.99,-0.295,-0.182,0.349,-0.186
683,1/31/2018,0.17,0.09,0.13,0.79,0.18,0.01,0.83,0.73,0.05,0.15,0.03,0.5,0.12,0.13,0.07,0.04,0.21,0.16,0.16,0.04,0.04,0.06,0.04,0.04,0.04,0.18,0.5,0.11,0.17,0.07,0.11,0.19,0.09,0.09,0.34,0.07,0.04,0.15,0.29,0.48,0.07,0.05,0.05,0.04,0.02,0.04,0.03,0.22,0.24,0.77,0.08,1,0.06,0.08,0.05,0.05,0.01,0.29,0.18,0.05,0.13,0.08,0.03,0.24,0.21,0.27,0.23,0.12,0.05,0.21,0.5,0.5,0.09,0.03,0.5,0.55,0.05,0.5,0.5,0.5,0.79,0.83,0.57,0.78,0.32,0.31,0.31,0.01,0.36,0.5,1,0.87,0.93,0.251,0.258,0.444,0.47
690,1/31/2018,0.82,0.82,0.85,0.22,0.96,0.01,0.56,0.8,0.07,0.91,0.95,0.5,0.15,0.22,0.05,0.25,0.34,0.37,0.84,0.27,0.27,0.42,0.27,0.27,0.8,0.93,0.5,0.77,0.04,0.93,0.96,0.59,0.74,0.78,0.24,0.69,0.35,0.91,0.98,0.86,0.79,0.8,0.79,0.94,0.78,0.96,0.71,0.98,0.9,0.8,0.42,0.65,0.42,0.41,0.29,0.33,0.73,0.63,0.72,0.03,0.84,0.95,0.5,0.66,0.72,0.24,0.67,0.35,0.37,0.78,0.5,0.98,0.37,0.04,0.12,0.42,0.28,0.12,0.5,0.5,0.31,0.72,0.66,0.77,0.61,0.86,0.98,0.72,0.87,0.99,1,0.3,0.38,-0.087,-0.056,-0.093,0.046
697,1/31/2018,0.52,0.45,0.45,0.63,0.06,0.01,0.66,0.53,0.48,0.92,0.64,0.5,0.55,0.85,0.03,0.99,0.76,0.77,0.62,0.89,0.87,0.93,0.89,0.88,0.5,0.51,0.5,0.62,0.04,0.74,0.74,0.97,0.87,0.88,0.23,0.85,0.72,0.92,0.71,0.53,0.49,0.49,0.49,0.27,0.45,0.26,0.55,0.7,0.6,0.66,0.67,0.67,0.56,0.66,0.84,0.85,0.11,0.31,0.49,0.04,0.7,0.57,0.98,0.8,0.78,0.24,0.85,0.8,0.94,0.83,0.5,0.45,0.73,0.99,0.99,0.42,0.83,0.99,0.5,0.5,0.73,0.72,0.53,0.51,0.32,0.61,0.72,0.17,0.58,1,1,0.29,0.26,0.007,-0.062,0.026,0.184
832,1/31/2018,0.81,0.78,0.79,0.62,0.96,0.01,0.21,0.22,0.99,0.12,0.22,0.5,0.6,0.6,0.04,0.83,0.84,0.85,0.64,0.71,0.71,0.26,0.72,0.71,0.85,0.84,0.5,0.54,0.12,0.29,0.24,0.48,0.46,0.4,0.31,0.36,0.15,0.12,0.26,0.9,0.85,0.85,0.85,0.74,0.59,0.83,0.61,0.86,0.89,0.9,0.82,0.73,0.87,0.81,0.98,0.86,0.5,0.49,0.49,0.05,0.2,0.13,0.46,0.4,0.29,0.26,0.32,0.82,0.84,0.1,0.5,0.48,0.82,0.03,0.92,0.73,0.94,0.92,0.5,0.5,0.38,0.42,0.3,0.33,0.53,0.87,0.83,0.56,0.88,1,1,0.16,0.56,-0.052,0.034,-0.054,0.13
900,1/31/2018,0.97,0.96,0.97,0.57,0.95,0.01,0.75,0.79,0.88,0.28,0.72,0.5,0.7,0.97,0.01,0.76,0.8,0.84,0.75,0.93,0.93,0.75,0.93,0.93,0.98,0.77,0.5,0.94,0.02,0.59,0.69,0.74,0.79,0.83,0.09,0.57,0.26,0.28,0.26,0.96,0.98,0.98,0.98,0.9,0.61,1,0.8,0.72,0.98,0.96,0.91,0.67,0.98,0.89,0.94,0.77,0.91,0.87,0.95,0.01,0.64,0.69,0.78,0.84,0.88,0.08,0.59,0.93,0.79,0.76,0.5,0.47,0.93,0.99,0.94,0.93,0.96,0.94,0.5,0.5,0.55,0.2,0.16,0.19,0.87,0.95,0.77,0.91,0.96,0.98,0.99,0.03,0.02,-0.11,-0.023,-0.068,0.071
1059,1/31/2018,0.92,0.92,0.91,0.8,0.9,0.01,1,0.67,0.07,1,0.48,0.5,0.2,0.22,0.02,0.83,0.77,0.81,0.52,1,1,0.52,1,1,0.77,0.31,0.5,0.83,0.02,0.75,0.54,0.91,0.8,0.84,0.09,0.56,0.57,1,0.15,0.73,0.79,0.79,0.79,0.25,0.94,0.25,0.93,0.61,0.82,0.7,0.68,0.59,0.88,0.67,0.89,0.69,0.58,0.67,0.83,0.02,0.78,0.5,0.94,0.83,0.9,0.09,0.57,0.7,0.48,1,0.5,0.06,0.73,0.1,0.99,0.83,0.93,0.99,0.5,0.5,0.99,0.91,0.9,0.9,0.66,0.12,0.52,0.56,0.79,0.99,0.99,0.62,0.26,-0.166,-0.196,-0.078,0
17,1/31/2018,0.74,0.67,0.66,0.8,0.45,0.02,0.23,0.63,0.4,0.42,0.53,0.5,0.82,0.1,0.04,0.82,0.73,0.73,0.39,0.19,0.19,0.96,0.22,0.19,0.37,0.37,0.5,0.65,0.03,0.75,0.69,0.97,0.93,0.95,0.13,0.74,0.95,0.42,0.11,0.72,0.32,0.3,0.31,0.11,0.17,0.18,0.21,0.81,0.62,0.06,0.5,0.02,0.53,0.48,0.84,0.61,0.15,0.27,0.6,0.03,0.75,0.62,0.98,0.95,0.97,0.13,0.74,0.5,0.96,0.19,0.5,0.1,0.35,0.01,0.94,0.5,0.84,0.94,0.5,0.5,0.15,1,0.99,0.99,0.28,0.67,0.66,0.2,0.59,1,1,0.96,0.99,-0.079,-0.001,0.575,0.574
84,1/31/2018,0.32,0.28,0.29,0.29,0.11,0.02,0.39,0.27,0.95,0.27,0.5,0.5,0.97,0.98,0.02,0.59,0.62,0.64,0.72,0.01,0.01,0.02,0.01,0.01,0.23,0.36,0.5,0.33,0.03,0.31,0.64,0.45,0.49,0.49,0.28,0.58,0.81,0.27,0.95,0.54,0.12,0.12,0.11,0.11,0.87,0.11,0.68,0.92,0.61,0.36,0.01,0.26,0.02,0.01,0.01,0.01,0.3,0.26,0.19,0.03,0.13,0.49,0.27,0.29,0.28,0.26,0.5,0.89,0.03,0.63,0.5,0.5,0.02,0.16,0.65,0.17,0.02,0.65,0.99,0.01,0.61,0.92,0.9,0.92,0.24,0.61,0.89,0.27,0.54,0.98,0.99,0.78,0.45,0.386,0.445,0.306,0.425
150,1/31/2018,0.63,0.65,0.63,0.79,0.22,0.02,0.76,0.65,0.6,0.56,0.41,0.5,0.61,0.79,0.03,0.74,0.74,0.79,0.5,0.84,0.83,0.68,0.85,0.83,0.41,0.59,0.5,0.38,0.04,0.54,0.4,0.69,0.67,0.72,0.2,0.5,0.4,0.56,0.29,0.49,0.4,0.37,0.39,0.21,0.44,0.18,0.52,0.79,0.58,0.74,0.57,0.84,0.49,0.56,0.85,0.66,0.21,0.21,0.35,0.03,0.63,0.38,0.77,0.75,0.83,0.19,0.53,0.62,0.67,0.71,0.5,0.5,0.65,0.98,0.93,0.4,0.88,0.93,0.5,0.5,0.78,0.96,0.97,0.95,0.17,0.67,0.65,0.16,0.5,1,1,0.33,0.48,-0.051,-0.02,-0.066,-0.094
