wage,hours,IQ,educ,exper,tenure,age,married,black,meduc,feduc
76900,40,93,12,11,2,31,1,0,8,8
80800,50,119,18,11,16,37,1,0,14,14
82500,40,108,14,11,9,33,1,0,14,14
65000,40,96,12,13,7,32,1,0,12,12
56200,40,74,11,14,5,34,1,0,6,11
140000,40,116,16,14,2,35,1,1,8,NA
6.00E+04,40,91,10,13,0,30,0,0,8,8
108100,40,114,18,8,14,38,1,0,8,NA
115400,45,111,15,13,1,36,1,0,14,5
1.00E+05,40,95,12,16,16,36,1,0,12,11
93000,43,132,18,8,13,38,1,0,13,14
92100,38,102,14,9,11,33,1,0,16,NA
9.00E+04,45,125,15,4,3,30,0,0,12,12
131800,38,119,16,7,2,28,1,0,10,10
179200,40,118,16,9,9,34,1,0,12,12
95800,50,105,10,17,2,35,1,0,6,8
136000,45,109,15,6,9,36,1,0,12,10
85000,40,72,11,19,10,38,1,0,10,8
83000,44,105,14,4,7,29,1,0,12,NA
47100,44,101,12,13,7,31,1,0,8,NA
127500,40,123,14,9,1,31,1,0,12,NA
161500,50,113,16,10,4,36,1,0,12,12
87300,65,95,12,14,3,38,1,0,10,10
213700,45,145,16,17,8,38,1,0,12,12
105300,38,114,16,12,7,32,1,0,11,11
160200,60,124,16,8,9,29,1,0,16,16
118800,40,93,13,16,5,35,1,0,12,8
8.00E+04,40,115,18,11,1,35,1,0,8,8
141700,48,125,17,9,4,34,1,0,13,12
63500,40,128,18,8,13,36,0,0,16,16
1.00E+05,40,103,12,17,2,34,1,0,8,NA
142400,50,98,14,15,4,35,1,0,12,12
266800,75,108,13,12,2,32,1,0,12,12
66600,75,129,18,8,12,38,1,0,18,18
177900,40,132,17,8,9,32,1,0,17,14
78200,40,92,13,9,10,31,1,0,8,NA
157200,35,108,14,7,5,28,1,1,12,8
127400,40,106,13,11,12,31,1,0,15,12
71400,35,105,16,9,2,29,1,0,13,12
108100,40,123,18,11,7,36,1,0,12,12
69200,40,108,12,21,11,38,1,0,8,7
131800,38,122,17,10,9,33,1,0,12,8
123900,45,109,12,16,4,38,1,0,12,NA
102700,27,100,13,12,15,38,1,0,10,9
174800,55,125,18,12,12,34,1,0,14,15
98100,40,122,14,9,15,35,0,0,12,NA
77000,40,105,17,7,11,30,1,0,12,12
115400,50,94,16,11,5,33,1,0,12,12
115500,40,102,12,16,5,34,1,0,12,NA
80800,60,109,13,14,12,38,1,0,12,10
110000,40,105,12,22,14,38,1,0,12,12
115400,40,134,18,10,10,37,1,0,12,12
174900,40,108,12,13,9,29,0,0,12,9
1.00E+05,50,104,16,11,8,30,1,0,12,11
46200,40,112,12,11,1,29,1,0,12,NA
76900,55,120,18,8,12,32,0,0,11,8
87500,50,124,16,9,3,31,0,0,17,16
137500,40,103,12,12,7,29,1,0,12,10
145200,45,115,17,1,7,30,1,0,12,14
8.00E+04,40,96,12,17,12,35,1,0,6,8
174800,55,123,17,10,7,36,1,0,12,12
115100,40,98,12,12,12,29,1,0,12,8
84000,50,96,12,18,13,35,1,0,12,8
97800,45,89,12,17,2,38,1,0,12,NA
96300,40,109,12,15,15,37,0,0,NA,7
61900,42,93,12,10,10,28,0,0,9,11
44200,60,82,12,12,0,33,1,0,12,9
6.00E+04,40,120,15,12,1,38,1,0,12,NA
136600,38,122,12,15,15,32,1,0,12,NA
164300,48,117,18,8,2,33,1,0,12,18
145500,40,109,16,8,13,36,1,0,8,8
231000,40,114,18,12,7,38,1,0,12,16
168200,45,126,16,10,11,31,1,0,12,16
123500,40,82,12,10,2,33,1,0,11,11
85500,45,119,16,11,4,32,1,0,12,9
107200,42,104,16,6,8,35,1,0,12,6
104000,40,115,15,8,15,35,1,0,NA,11
1.00E+05,50,97,12,17,15,36,1,0,12,12
67500,40,105,15,8,2,31,1,0,14,12
110000,37,100,12,14,1,30,1,0,7,7
99600,50,114,12,5,14,31,1,0,12,10
73200,40,73,10,17,5,36,1,0,NA,NA
120000,40,96,11,15,3,37,1,0,8,8
169400,30,113,15,9,8,29,0,0,12,16
68600,55,106,10,15,3,36,1,0,14,10
75400,40,104,13,9,5,32,1,0,8,NA
85700,35,80,10,14,15,33,1,0,NA,12
83200,50,104,13,4,2,30,1,0,12,8
57900,44,122,13,8,1,30,1,0,16,16
67200,61,96,12,13,3,34,1,0,12,13
250000,40,95,15,12,9,36,1,0,16,16
107600,45,105,12,5,8,31,0,0,16,17
75000,40,94,12,16,3,37,1,1,8,8
118600,30,91,17,8,9,33,1,0,12,14
83300,48,96,16,9,7,31,1,0,12,14
65000,40,69,12,14,11,30,1,1,10,9
125000,46,110,12,5,16,38,1,0,NA,12
112200,48,111,15,12,9,31,1,0,9,12
86500,40,110,16,1,11,31,1,0,9,12
80800,40,97,16,10,7,29,1,0,9,12
129900,60,125,18,6,12,35,0,0,8,8
